[2024-03-07 01:40:56,335: INFO: main: Welcome to our custom log]
[2024-03-16 12:27:10,342: INFO: main: >>>>>>>> stage Data Ingestion Stage started <<<<<<<<<<<]
[2024-03-16 12:27:10,357: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 12:27:10,373: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 12:27:10,373: INFO: common: created directory at: artifacts]
[2024-03-16 12:27:10,373: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-16 12:27:10,373: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-16 12:31:22,820: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-16 12:31:37,278: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<< 

x===========x]
[2024-03-16 12:31:37,278: INFO: main: >>>>>>>> stage Prepare Base Model started <<<<<<<<<<<]
[2024-03-16 12:31:37,282: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 12:31:37,282: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 12:31:37,282: INFO: common: created directory at: artifacts]
[2024-03-16 12:31:37,282: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-16 12:31:38,123: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-16 12:31:38,405: INFO: main: >>>>>> stage Prepare Base Model completed <<<<<< 

x===========x]
[2024-03-16 12:51:55,465: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 12:51:55,509: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 12:51:55,517: INFO: common: created directory at: artifacts]
[2024-03-16 12:51:55,532: INFO: common: created directory at: artifacts\training]
[2024-03-16 12:56:21,518: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 12:56:21,522: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 12:56:21,526: INFO: common: created directory at: artifacts]
[2024-03-16 12:56:21,527: INFO: common: created directory at: artifacts\training]
[2024-03-16 12:56:35,587: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 12:56:35,591: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 12:56:35,592: INFO: common: created directory at: artifacts]
[2024-03-16 12:56:35,595: INFO: common: created directory at: artifacts\training]
[2024-03-16 13:01:07,535: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 13:01:07,539: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 13:01:07,541: INFO: common: created directory at: artifacts]
[2024-03-16 13:01:25,072: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 13:01:25,078: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 13:01:25,083: INFO: common: created directory at: artifacts]
[2024-03-16 13:02:04,032: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 13:02:04,037: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 13:02:04,039: INFO: common: created directory at: artifacts]
[2024-03-16 13:02:04,042: INFO: common: created directory at: artifacts\training]
[2024-03-16 13:02:21,181: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-16 13:02:21,184: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-16 13:02:21,187: INFO: common: created directory at: artifacts]
[2024-03-16 13:02:21,189: INFO: common: created directory at: artifacts\training]
[2024-03-17 00:18:43,293: INFO: main: >>>>>>>> stage Data Ingestion Stage started <<<<<<<<<<<]
[2024-03-17 00:18:43,304: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 00:18:43,312: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 00:18:43,312: INFO: common: created directory at: artifacts]
[2024-03-17 00:18:43,315: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-17 00:18:43,317: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-17 00:36:21,189: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-17 00:36:34,600: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<< 

x===========x]
[2024-03-17 00:36:34,600: INFO: main: >>>>>>>> stage Prepare Base Model started <<<<<<<<<<<]
[2024-03-17 00:36:34,608: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 00:36:34,608: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 00:36:34,608: INFO: common: created directory at: artifacts]
[2024-03-17 00:36:34,608: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-17 00:36:35,288: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-17 00:36:35,559: INFO: main: >>>>>> stage Prepare Base Model completed <<<<<< 

x===========x]
[2024-03-17 00:48:05,532: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 00:48:05,536: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 00:48:05,537: INFO: common: created directory at: artifacts]
[2024-03-17 00:48:05,539: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-17 00:48:05,986: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-17 00:51:15,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 00:51:15,486: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 00:51:15,487: INFO: common: created directory at: artifacts]
[2024-03-17 00:51:15,489: INFO: common: created directory at: artifacts\training]
[2024-03-17 01:02:43,148: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-17 01:02:43,151: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-17 01:02:43,152: INFO: common: created directory at: artifacts]
[2024-03-17 01:02:43,155: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-17 01:02:43,157: INFO: 4285290507: Downloading data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
[2024-03-17 01:14:46,619: INFO: 4285290507: Downloaded data from https://drive.google.com/file/d/1aoQ4eAjmbVa5IAWCbWB9c017tF3lWtWw/view into file artifacts/data_ingestion/data.zip]
